# Sample Stock Data - AAPL
# Format: Timestamp,Open,High,Low,Close,Volume
Timestamp,Open,High,Low,Close,Volume
2025-10-24 09:30:00,150.25,151.00,149.50,150.75,15000
2025-10-24 09:31:00,150.75,151.50,150.50,151.20,18000
2025-10-24 09:32:00,151.20,151.80,151.00,151.60,20000
2025-10-24 09:33:00,151.60,152.00,151.40,151.80,22000
2025-10-24 09:34:00,151.80,152.50,151.60,152.30,25000
2025-10-24 09:35:00,152.30,152.80,152.00,152.50,19000
2025-10-24 09:36:00,152.50,152.90,152.20,152.60,17000
2025-10-24 09:37:00,152.60,153.00,152.40,152.80,21000
2025-10-24 09:38:00,152.80,153.20,152.60,153.00,23000
2025-10-24 09:39:00,153.00,153.50,152.80,153.20,26000
2025-10-24 09:40:00,153.20,153.80,153.00,153.60,28000
2025-10-24 09:41:00,153.60,154.00,153.40,153.80,24000
2025-10-24 09:42:00,153.80,154.20,153.60,153.90,22000
2025-10-24 09:43:00,153.90,154.50,153.70,154.30,27000
2025-10-24 09:44:00,154.30,154.80,154.10,154.60,29000
2025-10-24 09:45:00,154.60,155.00,154.40,154.80,31000
2025-10-24 09:46:00,154.80,155.20,154.60,154.90,26000
2025-10-24 09:47:00,154.90,155.50,154.70,155.20,30000
2025-10-24 09:48:00,155.20,155.80,155.00,155.60,33000
2025-10-24 09:49:00,155.60,156.00,155.40,155.80,28000
2025-10-24 09:50:00,155.80,156.20,155.60,155.90,25000
2025-10-24 09:51:00,155.90,156.50,155.70,156.30,32000
2025-10-24 09:52:00,156.30,156.80,156.10,156.60,35000
2025-10-24 09:53:00,156.60,157.00,156.40,156.80,29000
2025-10-24 09:54:00,156.80,157.20,156.60,156.90,27000
2025-10-24 09:55:00,156.90,157.50,156.70,157.20,34000
2025-10-24 09:56:00,157.20,157.80,157.00,157.60,38000
2025-10-24 09:57:00,157.60,158.00,157.40,157.80,31000
2025-10-24 09:58:00,157.80,158.20,157.60,157.90,29000
2025-10-24 09:59:00,157.90,158.50,157.70,158.20,36000

