event_time,source,order_id,position_id,symbol,side,status,order_status,quantity,requested_price,executed_price,stop_loss,take_profit,realized_pnl,commission,decision_action,trade_mode,confidence,risk_reward,reason,message
2026-05-13 09:06:12,auto-monitor,PAPER_20260513_090612_000001,PAPER_20260513_090612_000001,2464.TW,BUY,SUCCESS,FILLED,1327,113.000000,113.000000,110.740000,117.520000,0.000000,213.680175,OPEN_LONG,SWING_TRADE,0.900000,2.000000,多頭分數0.900 >= 閾值0.180,開倉成功
2026-05-13 09:06:12,auto-monitor,PAPER_20260513_090612_000002,PAPER_20260513_090612_000002,3035.TW,BUY,SUCCESS,FILLED,634,201.000000,201.000000,196.980000,209.040000,0.000000,181.593450,OPEN_LONG,SWING_TRADE,0.833608,2.000000,多頭分數0.834 >= 閾值0.180,開倉成功
2026-05-13 09:06:12,auto-monitor,PAPER_20260513_090612_000003,PAPER_20260513_090612_000003,8110.TW,BUY,SUCCESS,FILLED,2188,49.500000,49.500000,48.510000,51.480000,0.000000,154.336050,OPEN_LONG,SWING_TRADE,0.536457,2.000000,多頭分數0.536 >= 閾值0.180,開倉成功
2026-05-13 09:06:12,auto-monitor,PAPER_20260513_090612_000004,PAPER_20260513_090612_000004,6770.TW,BUY,SUCCESS,FILLED,1542,59.700000,59.700000,58.506000,62.088000,0.000000,131.181795,OPEN_LONG,SWING_TRADE,0.501932,2.000000,多頭分數0.502 >= 閾值0.180,開倉成功
2026-05-13 09:06:12,auto-monitor,PAPER_20260513_090612_000005,PAPER_20260513_090612_000005,3019.TW,BUY,SUCCESS,FILLED,552,141.500000,141.500000,138.670000,147.160000,0.000000,111.303900,OPEN_LONG,SWING_TRADE,0.489547,2.000000,多頭分數0.490 >= 閾值0.180,開倉成功
2026-05-13 09:06:12,auto-monitor,PAPER_20260513_090612_000006,PAPER_20260513_090612_000006,8131.TW,BUY,SUCCESS,FILLED,1019,65.200000,65.200000,63.896000,67.808000,0.000000,94.675290,OPEN_LONG,SWING_TRADE,0.485030,2.000000,多頭分數0.485 >= 閾值0.180,開倉成功
2026-05-13 09:06:12,auto-monitor,PAPER_20260513_090612_000007,PAPER_20260513_090612_000007,2301.TW,BUY,SUCCESS,FILLED,258,219.000000,219.000000,214.620000,227.760000,0.000000,80.515350,OPEN_LONG,SWING_TRADE,0.411999,2.000000,多頭分數0.412 >= 閾值0.180,開倉成功
2026-05-13 09:07:00,auto-monitor,PAPER_20260513_090700_000008,PAPER_20260513_090700_000008,1303.TW,BUY,SUCCESS,FILLED,555,86.500000,86.500000,84.770000,89.960000,0.000000,68.410688,OPEN_LONG,SWING_TRADE,0.721296,2.000000,多頭分數0.721 >= 閾值0.180,開倉成功
2026-05-13 09:07:08,auto-monitor,PAPER_20260513_090708_000009,PAPER_20260513_090708_000009,4540.TW,BUY,SUCCESS,FILLED,629,64.800000,64.800000,63.504000,67.392000,0.000000,58.081860,OPEN_LONG,SWING_TRADE,0.900000,2.000000,多頭分數0.900 >= 閾值0.180,開倉成功
2026-05-13 09:07:08,auto-monitor,PAPER_20260513_090708_000010,PAPER_20260513_090708_000010,2317.TW,BUY,SUCCESS,FILLED,142,244.000000,244.000000,239.120000,253.760000,0.000000,49.373400,OPEN_LONG,SWING_TRADE,0.786253,2.000000,多頭分數0.786 >= 閾值0.180,開倉成功
2026-05-13 09:07:08,auto-monitor,PAPER_20260513_090708_000011,PAPER_20260513_090708_000011,2344.TW,BUY,SUCCESS,FILLED,254,116.000000,116.000000,113.680000,120.640000,0.000000,41.986200,OPEN_LONG,SWING_TRADE,0.744506,2.000000,多頭分數0.745 >= 閾值0.180,開倉成功
2026-05-13 09:07:08,auto-monitor,PAPER_20260513_090708_000012,PAPER_20260513_090708_000012,1815.TW,BUY,SUCCESS,FILLED,236,106.000000,106.000000,103.880000,110.240000,0.000000,35.647800,OPEN_LONG,SWING_TRADE,0.729487,2.000000,多頭分數0.729 >= 閾值0.180,開倉成功
2026-05-13 09:07:08,auto-monitor,PAPER_20260513_090708_000013,PAPER_20260513_090708_000013,1802.TW,BUY,SUCCESS,FILLED,310,68.700000,68.700000,67.326000,71.448000,0.000000,30.348225,OPEN_LONG,SWING_TRADE,0.653693,2.000000,多頭分數0.654 >= 閾值0.180,開倉成功
2026-05-13 09:07:08,auto-monitor,PAPER_20260513_090708_000014,PAPER_20260513_090708_000014,3090.TW,BUY,SUCCESS,FILLED,154,117.000000,117.000000,114.660000,121.680000,0.000000,25.675650,OPEN_LONG,SWING_TRADE,0.576269,2.000000,多頭分數0.576 >= 閾值0.180,開倉成功
2026-05-13 09:07:08,auto-monitor,PAPER_20260513_090708_000015,PAPER_20260513_090708_000015,8028.TW,BUY,SUCCESS,FILLED,66,232.500000,232.500000,227.850000,241.800000,0.000000,21.866625,OPEN_LONG,SWING_TRADE,0.451774,2.000000,多頭分數0.452 >= 閾值0.180,開倉成功
2026-05-13 09:07:08,auto-monitor,PAPER_20260513_090708_000016,PAPER_20260513_090708_000016,2367.TW,BUY,SUCCESS,FILLED,207,63.000000,63.000000,61.740000,65.520000,0.000000,18.583425,OPEN_LONG,SWING_TRADE,0.387658,2.000000,多頭分數0.388 >= 閾值0.180,開倉成功
2026-05-13 09:07:08,auto-monitor,PAPER_20260513_090708_000017,PAPER_20260513_090708_000017,2375.TW,BUY,SUCCESS,FILLED,119,92.900000,92.900000,91.042000,96.616000,0.000000,15.753518,OPEN_LONG,SWING_TRADE,0.336306,2.000000,多頭分數0.336 >= 閾值0.180,開倉成功
2026-05-13 09:08:12,auto-monitor,PAPER_20260513_090812_000018,PAPER_20260513_090812_000018,2439.TW,BUY,SUCCESS,FILLED,111,84.900000,84.900000,83.202000,88.296000,0.000000,13.429058,OPEN_LONG,SWING_TRADE,0.895183,2.000000,多頭分數0.895 >= 閾值0.180,開倉成功
2026-05-13 09:08:12,auto-monitor,PAPER_20260513_090812_000019,PAPER_20260513_090812_000019,2481.TW,BUY,SUCCESS,FILLED,68,117.000000,117.000000,114.660000,121.680000,0.000000,11.337300,OPEN_LONG,SWING_TRADE,0.885441,2.000000,多頭分數0.885 >= 閾值0.180,開倉成功
