closed_time,source,position_id,symbol,trade_mode,entry_time,exit_time,holding_minutes,quantity,entry_price,exit_price,stop_loss,take_profit,is_win,outcome,gross_pnl,net_pnl,return_pct,mae,mfe,mae_pct,mfe_pct,setup_score,setup_confidence,setup_risk_reward,entry_order_id,exit_order_id,entry_reason,exit_reason,raw_signal_summary,block_reason
2026-05-13 09:12:05,auto-stop,PAPER_20260513_090612_000007,2301.TW,SWING_TRADE,2026-05-13 09:06:12,2026-05-13 09:12:05,5,258,219.000000,214.500000,214.620000,227.760000,false,LOSS,-1161.000000,-1320.376275,-2.054795,-1161.000000,0.000000,-2.054795,0.000000,0.411999,0.411999,2.000000,PAPER_20260513_090612_000007,PAPER_20260513_091205_000028,多頭分數0.412 >= 閾值0.180,停損觸發：最新價 214.50 <= 停損 214.62,SignalRSI:LONG 41% - RSI超賣 29.2 <= 42.0,
2026-05-13 09:13:05,auto-stop,PAPER_20260513_090612_000001,2464.TW,SWING_TRADE,2026-05-13 09:06:12,2026-05-13 09:13:05,6,1327,113.000000,110.500000,110.740000,117.520000,false,LOSS,-3317.500000,-3740.132913,-2.212389,-3317.500000,0.000000,-2.212389,0.000000,0.900000,0.900000,2.000000,PAPER_20260513_090612_000001,PAPER_20260513_091305_000030,多頭分數0.900 >= 閾值0.180,停損觸發：最新價 110.50 <= 停損 110.74,SignalRSI:LONG 90% - RSI超賣 0.0 <= 42.0,
2026-05-13 09:16:15,auto-stop,PAPER_20260513_090612_000002,3035.TW,SWING_TRADE,2026-05-13 09:06:12,2026-05-13 09:16:15,10,634,201.000000,196.500000,196.980000,209.040000,false,LOSS,-2853.000000,-3212.121375,-2.238806,-2853.000000,0.000000,-2.238806,0.000000,0.833608,0.833608,2.000000,PAPER_20260513_090612_000002,PAPER_20260513_091615_000035,多頭分數0.834 >= 閾值0.180,停損觸發：最新價 196.50 <= 停損 196.98,SignalRSI:LONG 83% - RSI超賣 40.3 <= 42.0,
2026-05-13 09:27:15,auto-stop,PAPER_20260513_090812_000019,2481.TW,SWING_TRADE,2026-05-13 09:08:12,2026-05-13 09:27:15,19,68,117.000000,114.000000,114.660000,121.680000,false,LOSS,-204.000000,-226.383900,-2.564103,-204.000000,204.000000,-2.564103,2.564103,0.885441,0.885441,2.000000,PAPER_20260513_090812_000019,PAPER_20260513_092715_000040,多頭分數0.885 >= 閾值0.180,停損觸發：最新價 114.00 <= 停損 114.66,SignalRSI:LONG 89% - RSI超賣 41.6 <= 42.0,
2026-05-13 09:27:15,auto-stop,PAPER_20260513_091308_000031,1711.TW,SWING_TRADE,2026-05-13 09:13:08,2026-05-13 09:27:15,14,576,53.100000,51.900000,52.038000,55.224000,false,LOSS,-691.200000,-777.384000,-2.259887,-691.200000,230.400000,-2.259887,0.753296,0.787990,0.787990,2.000000,PAPER_20260513_091308_000031,PAPER_20260513_092715_000041,多頭分數0.788 >= 閾值0.180,停損觸發：最新價 51.90 <= 停損 52.04,SignalRSI:LONG 79% - RSI超賣 39.1 <= 42.0,
2026-05-13 09:27:15,auto-stop,PAPER_20260513_091812_000036,2313.TW,SWING_TRADE,2026-05-13 09:18:12,2026-05-13 09:27:15,9,140,247.500000,241.000000,242.550000,257.400000,false,LOSS,-910.000000,-1007.455750,-2.626263,-910.000000,210.000000,-2.626263,0.606061,0.358360,0.358360,2.000000,PAPER_20260513_091812_000036,PAPER_20260513_092715_000042,多頭分數0.358 >= 閾值0.180,停損觸發：最新價 241.00 <= 停損 242.55,SignalRSI:LONG 36% - RSI超賣 14.2 <= 42.0,
2026-05-13 09:41:05,auto-stop,PAPER_20260513_091012_000027,8088.TW,SWING_TRADE,2026-05-13 09:10:12,2026-05-13 09:41:05,30,43,51.600000,53.900000,50.568000,53.664000,true,WIN,98.900000,92.435487,4.457364,-4.300000,98.900000,-0.193798,4.457364,0.579019,0.579019,2.000000,PAPER_20260513_091012_000027,PAPER_20260513_094105_000046,多頭分數0.579 >= 閾值0.180,停利觸發：最新價 53.90 >= 停利 53.66,SignalRSI:LONG 58% - RSI超賣 33.6 <= 42.0,
2026-05-13 09:44:43,auto-stop,PAPER_20260513_092820_000044,1711.TW,SWING_TRADE,2026-05-13 09:28:20,2026-05-13 09:44:43,16,468,52.200000,54.400000,51.156000,54.288000,true,WIN,1029.600000,958.508460,4.214559,-140.400000,1216.800000,-0.574713,4.980843,0.620746,0.620746,2.000000,PAPER_20260513_092820_000044,PAPER_20260513_094443_000048,多頭分數0.621 >= 閾值0.180,停利觸發：最新價 54.40 >= 停利 54.29,"SignalRSI:LONG 62% - RSI超賣 34.7 <= 42.0 | MovingAverageTrend:SHORT 37% - EMA trend down: fast 52.33 < slow 52.70, close 52.20 <= fast",
2026-05-13 09:47:05,auto-stop,PAPER_20260513_090708_000016,2367.TW,SWING_TRADE,2026-05-13 09:07:08,2026-05-13 09:47:05,39,207,63.000000,61.600000,61.740000,65.520000,false,LOSS,-289.800000,-326.553885,-2.222222,-289.800000,144.900000,-2.222222,1.111111,0.387658,0.387658,2.000000,PAPER_20260513_090708_000016,PAPER_20260513_094705_000050,多頭分數0.388 >= 閾值0.180,停損觸發：最新價 61.60 <= 停損 61.74,SignalRSI:LONG 39% - RSI超賣 28.6 <= 42.0,
2026-05-13 09:50:05,auto-stop,PAPER_20260513_091508_000034,2472.TW,SWING_TRADE,2026-05-13 09:15:08,2026-05-13 09:50:05,34,84,223.000000,232.000000,218.540000,231.920000,true,WIN,756.000000,701.536500,4.035874,-294.000000,756.000000,-1.569507,4.035874,0.345674,0.345674,2.000000,PAPER_20260513_091508_000034,PAPER_20260513_095005_000052,多頭分數0.346 >= 閾值0.180,停利觸發：最新價 232.00 >= 停利 231.92,SignalRSI:LONG 35% - RSI超賣 27.4 <= 42.0,
2026-05-13 10:11:15,auto-stop,PAPER_20260513_095124_000053,2472.TW,SWING_TRADE,2026-05-13 09:51:24,2026-05-13 10:11:15,19,78,233.500000,228.500000,228.830000,242.840000,false,LOSS,-390.000000,-441.351300,-2.141328,-390.000000,39.000000,-2.141328,0.214133,0.934478,0.934478,2.000000,PAPER_20260513_095124_000053,PAPER_20260513_101115_000054,多頭分數0.934 >= 閾值0.180,停損觸發：最新價 228.50 <= 停損 228.83,"SignalRSI:SHORT 53% - RSI超買 91.2 >= 62.0 | VolumeBreakout:LONG 64% - Breakout 233.50 > high 232.00 with volume 3.05x >= 1.60x | MovingAverageTrend:LONG 53% - EMA trend up: fast 230.99 > slow 227.66, close 233.50 >= fast",
2026-05-13 10:52:05,auto-stop,PAPER_20260513_090708_000014,3090.TW,SWING_TRADE,2026-05-13 09:07:08,2026-05-13 10:52:05,104,154,117.000000,122.000000,114.660000,121.680000,true,WIN,770.000000,717.551450,4.273504,-231.000000,770.000000,-1.282051,4.273504,0.576269,0.576269,2.000000,PAPER_20260513_090708_000014,PAPER_20260513_105205_000056,多頭分數0.576 >= 閾值0.180,停利觸發：最新價 122.00 >= 停利 121.68,SignalRSI:LONG 58% - RSI超賣 33.5 <= 42.0,
