entry_time,source,position_id,order_id,symbol,trade_mode,quantity,entry_price,stop_loss,take_profit,setup_score,confidence,risk_reward,decision_action,decision_source,reason,raw_signal_summary,block_reason
2026-05-13 09:06:12,auto-monitor,PAPER_20260513_090612_000001,PAPER_20260513_090612_000001,2464.TW,SWING_TRADE,1327,113.000000,110.740000,117.520000,0.900000,0.900000,2.000000,OPEN_LONG,VOTING_ENTRY,多頭分數0.900 >= 閾值0.180,SignalRSI:LONG 90% - RSI超賣 0.0 <= 42.0,
2026-05-13 09:06:12,auto-monitor,PAPER_20260513_090612_000002,PAPER_20260513_090612_000002,3035.TW,SWING_TRADE,634,201.000000,196.980000,209.040000,0.833608,0.833608,2.000000,OPEN_LONG,VOTING_ENTRY,多頭分數0.834 >= 閾值0.180,SignalRSI:LONG 83% - RSI超賣 40.3 <= 42.0,
2026-05-13 09:06:12,auto-monitor,PAPER_20260513_090612_000003,PAPER_20260513_090612_000003,8110.TW,SWING_TRADE,2188,49.500000,48.510000,51.480000,0.536457,0.536457,2.000000,OPEN_LONG,VOTING_ENTRY,多頭分數0.536 >= 閾值0.180,SignalRSI:LONG 54% - RSI超賣 32.5 <= 42.0,
2026-05-13 09:06:12,auto-monitor,PAPER_20260513_090612_000004,PAPER_20260513_090612_000004,6770.TW,SWING_TRADE,1542,59.700000,58.506000,62.088000,0.501932,0.501932,2.000000,OPEN_LONG,VOTING_ENTRY,多頭分數0.502 >= 閾值0.180,SignalRSI:LONG 50% - RSI超賣 31.6 <= 42.0,
2026-05-13 09:06:12,auto-monitor,PAPER_20260513_090612_000005,PAPER_20260513_090612_000005,3019.TW,SWING_TRADE,552,141.500000,138.670000,147.160000,0.489547,0.489547,2.000000,OPEN_LONG,VOTING_ENTRY,多頭分數0.490 >= 閾值0.180,SignalRSI:LONG 49% - RSI超賣 31.2 <= 42.0,
2026-05-13 09:06:12,auto-monitor,PAPER_20260513_090612_000006,PAPER_20260513_090612_000006,8131.TW,SWING_TRADE,1019,65.200000,63.896000,67.808000,0.485030,0.485030,2.000000,OPEN_LONG,VOTING_ENTRY,多頭分數0.485 >= 閾值0.180,SignalRSI:LONG 49% - RSI超賣 31.1 <= 42.0,
2026-05-13 09:06:12,auto-monitor,PAPER_20260513_090612_000007,PAPER_20260513_090612_000007,2301.TW,SWING_TRADE,258,219.000000,214.620000,227.760000,0.411999,0.411999,2.000000,OPEN_LONG,VOTING_ENTRY,多頭分數0.412 >= 閾值0.180,SignalRSI:LONG 41% - RSI超賣 29.2 <= 42.0,
2026-05-13 09:07:00,auto-monitor,PAPER_20260513_090700_000008,PAPER_20260513_090700_000008,1303.TW,SWING_TRADE,555,86.500000,84.770000,89.960000,0.721296,0.721296,2.000000,OPEN_LONG,VOTING_ENTRY,多頭分數0.721 >= 閾值0.180,SignalRSI:LONG 72% - RSI超賣 4.7 <= 42.0,
2026-05-13 09:07:08,auto-monitor,PAPER_20260513_090708_000009,PAPER_20260513_090708_000009,4540.TW,SWING_TRADE,629,64.800000,63.504000,67.392000,0.900000,0.900000,2.000000,OPEN_LONG,VOTING_ENTRY,多頭分數0.900 >= 閾值0.180,SignalRSI:LONG 90% - RSI超賣 0.0 <= 42.0,
2026-05-13 09:07:08,auto-monitor,PAPER_20260513_090708_000010,PAPER_20260513_090708_000010,2317.TW,SWING_TRADE,142,244.000000,239.120000,253.760000,0.786253,0.786253,2.000000,OPEN_LONG,VOTING_ENTRY,多頭分數0.786 >= 閾值0.180,SignalRSI:LONG 79% - RSI超賣 39.0 <= 42.0,
